State,County,StCnty FIPS Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alabama,Baldwin,01003,2019,271,221,50,0,0,0,0,80,55,40,0,0,198,73,0
Alabama,Clay,01027,2019,107,75,32,0,0,0,0,71,56,41,0,0,0,107,0
Alabama,Colbert,01033,2019,263,238,25,0,0,0,0,65,50,38,0,0,219,44,0
Alabama,DeKalb,01049,2019,361,303,58,0,0,0,0,90,54,39,0,0,306,55,0
Alabama,Elmore,01051,2019,228,208,20,0,0,0,0,100,50,39,0,0,228,0,0
Alabama,Etowah,01055,2019,279,201,78,0,0,0,0,90,58,44,0,0,201,78,0
Alabama,Houston,01069,2019,280,230,50,0,0,0,0,77,55,38,0,0,181,99,0
Alabama,Jefferson,01073,2019,365,85,267,13,0,0,0,150,80,58,0,0,75,289,1
Alabama,Lawrence,01079,2019,112,98,14,0,0,0,0,58,51,32,0,0,0,112,0
Alabama,Madison,01089,2019,361,189,172,0,0,0,0,93,62,49,0,0,99,255,7
Alabama,Mobile,01097,2019,354,169,185,0,0,0,0,82,64,52,0,0,73,281,0
Alabama,Montgomery,01101,2019,365,84,280,1,0,0,0,122,71,57,0,0,18,346,1
Alabama,Morgan,01103,2019,365,247,118,0,0,0,0,93,58,45,0,0,145,220,0
Alabama,Russell,01113,2019,363,195,168,0,0,0,0,84,63,48,0,0,64,299,0
Alabama,Shelby,01117,2019,244,202,39,3,0,0,0,119,61,42,0,0,244,0,0
Alabama,Sumter,01119,2019,354,287,67,0,0,0,0,67,54,38,0,0,115,239,0
Alabama,Tuscaloosa,01125,2019,264,217,47,0,0,0,0,87,54,39,0,0,173,91,0
Alaska,Aleutians East ,02013,2019,121,119,2,0,0,0,0,55,29,14,0,0,0,121,0
Alaska,Anchorage ,02020,2019,365,254,102,5,4,0,0,163,67,32,5,0,0,285,75
Alaska,Bethel ,02050,2019,317,302,13,1,1,0,0,185,34,13,0,0,0,212,105
Alaska,Denali ,02068,2019,360,355,5,0,0,0,0,82,44,36,0,0,348,12,0
Alaska,Fairbanks North Star ,02090,2019,365,205,121,18,16,1,4,503,103,44,0,6,98,258,3
Alaska,Juneau ,02110,2019,362,280,79,3,0,0,0,145,60,27,0,0,0,340,22
Alaska,Kenai Peninsula ,02122,2019,118,111,6,1,0,0,0,140,28,11,0,0,0,118,0
Alaska,Matanuska-Susitna ,02170,2019,361,262,96,3,0,0,0,127,66,25,0,0,0,313,48
Alaska,North Slope ,02185,2019,110,108,2,0,0,0,0,69,15,6,0,0,0,110,0
Arizona,Apache,04001,2019,359,357,2,0,0,0,0,64,21,11,0,0,0,62,297
Arizona,Cochise,04003,2019,365,253,112,0,0,0,0,97,64,46,0,0,305,45,15
Arizona,Coconino,04005,2019,365,280,85,0,0,0,0,80,61,45,0,0,349,16,0
Arizona,Gila,04007,2019,365,210,139,16,0,0,0,146,87,48,0,0,349,1,15
Arizona,La Paz,04012,2019,364,303,61,0,0,0,0,77,58,44,0,0,357,6,1
Arizona,Maricopa,04013,2019,365,50,277,38,0,0,0,147,101,67,0,2,204,92,67
Arizona,Mohave,04015,2019,365,358,7,0,0,0,0,69,29,14,0,0,0,52,313
Arizona,Navajo,04017,2019,365,294,70,1,0,0,0,112,58,44,0,0,357,1,7
Arizona,Pima,04019,2019,365,207,156,2,0,0,0,103,71,49,0,0,237,51,77
Arizona,Pinal,04021,2019,365,104,228,21,2,3,7,929,100,63,0,0,148,66,151
Arizona,Santa Cruz,04023,2019,362,250,110,2,0,0,0,120,67,39,0,0,0,323,39
Arizona,Yavapai,04025,2019,357,298,59,0,0,0,0,87,54,43,0,0,355,2,0
Arizona,Yuma,04027,2019,365,226,136,3,0,0,0,129,67,47,0,0,214,120,31
Arkansas,Arkansas,05001,2019,118,77,41,0,0,0,0,80,58,41,0,0,0,118,0
Arkansas,Ashley,05003,2019,120,72,48,0,0,0,0,71,58,43,0,0,0,120,0
Arkansas,Benton,05007,2019,146,79,67,0,0,0,0,85,61,47,0,0,0,146,0
Arkansas,Clark,05019,2019,355,347,8,0,0,0,0,67,46,32,0,0,355,0,0
Arkansas,Craighead,05031,2019,49,35,14,0,0,0,0,65,58,41,0,0,0,49,0
Arkansas,Crittenden,05035,2019,365,212,152,1,0,0,0,101,60,47,0,0,107,258,0
Arkansas,Garland,05051,2019,121,61,60,0,0,0,0,77,60,50,0,0,0,121,0
Arkansas,Jackson,05067,2019,117,76,41,0,0,0,0,77,59,45,0,0,0,117,0
Arkansas,Newton,05101,2019,365,344,21,0,0,0,0,90,48,36,0,0,342,23,0
Arkansas,Polk,05113,2019,361,291,69,1,0,0,0,119,58,40,0,0,287,74,0
Arkansas,Pulaski,05119,2019,365,145,220,0,0,0,0,81,64,53,0,2,88,275,0
Arkansas,Union,05139,2019,241,135,106,0,0,0,0,99,59,46,0,0,0,241,0
Arkansas,Washington,05143,2019,365,193,172,0,0,0,0,97,61,48,0,0,118,247,0
California,Alameda,06001,2019,365,183,174,8,0,0,0,150,67,50,0,11,94,260,0
California,Amador,06005,2019,355,308,45,2,0,0,0,115,51,39,0,0,355,0,0
California,Butte,06007,2019,365,171,189,3,2,0,0,180,71,51,0,0,121,243,1
California,Calaveras,06009,2019,360,288,71,1,0,0,0,108,60,43,0,0,297,62,1
California,Colusa,06011,2019,365,260,105,0,0,0,0,85,61,41,0,0,152,173,40
California,Contra Costa,06013,2019,365,238,123,4,0,0,0,129,64,43,0,3,171,190,1
California,Del Norte,06015,2019,248,210,38,0,0,0,0,74,53,26,0,0,0,248,0
California,El Dorado,06017,2019,365,273,86,6,0,0,0,122,74,43,0,0,353,3,9
California,Fresno,06019,2019,365,113,186,64,2,0,0,187,115,63,0,1,229,118,17
California,Glenn,06021,2019,362,274,88,0,0,0,0,86,58,42,0,0,232,119,11
California,Humboldt,06023,2019,363,340,23,0,0,0,0,69,44,28,2,1,253,70,37
California,Imperial,06025,2019,365,94,250,19,2,0,0,185,93,61,0,0,185,128,52
California,Inyo,06027,2019,365,226,127,6,2,1,3,653,84,47,0,0,313,23,29
California,Kern,06029,2019,365,91,179,87,6,1,1,553,122,69,0,1,228,108,28
California,Kings,06031,2019,365,123,201,37,2,0,2,508,105,58,0,0,166,130,69
California,Lake,06033,2019,360,360,0,0,0,0,0,50,42,31,0,0,351,8,1
California,Los Angeles,06037,2019,365,34,245,57,28,1,0,201,136,72,0,24,166,170,5
California,Madera,06039,2019,365,167,185,13,0,0,0,140,84,52,0,0,225,103,37
California,Marin,06041,2019,363,291,71,1,0,0,0,133,55,37,0,10,151,202,0
California,Mariposa,06043,2019,365,192,159,9,5,0,0,185,84,50,0,0,247,118,0
California,Mendocino,06045,2019,361,290,71,0,0,0,0,80,54,36,0,0,155,199,7
California,Merced,06047,2019,365,176,182,7,0,0,0,119,80,51,0,0,202,161,2
California,Mono,06051,2019,365,242,108,6,0,0,9,4227,83,34,0,0,0,322,43
California,Monterey,06053,2019,365,303,61,1,0,0,0,144,54,39,2,0,228,127,8
California,Napa,06055,2019,363,295,66,2,0,0,0,119,54,37,2,0,211,150,0
California,Nevada,06057,2019,361,251,105,5,0,0,0,122,71,45,0,0,272,89,0
California,Orange,06059,2019,365,157,192,15,1,0,0,172,87,53,0,7,188,164,6
California,Placer,06061,2019,365,198,158,9,0,0,0,136,77,49,0,0,218,145,2
California,Plumas,06063,2019,341,220,116,5,0,0,0,138,71,34,0,0,0,341,0
California,Riverside,06065,2019,365,53,192,91,29,0,0,185,147,77,0,0,219,102,44
California,Sacramento,06067,2019,365,175,180,10,0,0,0,140,84,52,0,1,188,169,7
California,San Benito,06069,2019,365,318,47,0,0,0,0,90,52,39,0,0,308,51,6
California,San Bernardino,06071,2019,365,29,203,71,54,8,0,213,172,81,0,4,214,140,7
California,San Diego,06073,2019,365,38,302,23,2,0,0,169,93,66,0,1,133,228,3
California,San Francisco,06075,2019,365,251,113,1,0,0,0,108,58,39,0,15,119,231,0
California,San Joaquin,06077,2019,365,202,151,11,1,0,0,190,82,47,0,1,201,149,14
California,San Luis Obispo,06079,2019,365,196,166,3,0,0,0,108,74,49,0,0,239,109,17
California,San Mateo,06081,2019,365,276,87,2,0,0,0,122,57,39,0,14,135,216,0
California,Santa Barbara,06083,2019,365,242,122,1,0,0,0,105,63,45,0,0,228,128,9
California,Santa Clara,06085,2019,365,205,156,4,0,0,0,136,68,48,0,1,134,229,1
California,Santa Cruz,06087,2019,365,291,74,0,0,0,0,74,54,39,0,0,166,199,0
California,Shasta,06089,2019,364,306,58,0,0,0,0,100,54,42,0,0,349,13,2
California,Siskiyou,06093,2019,365,302,59,2,2,0,0,164,54,38,0,0,239,126,0
California,Solano,06095,2019,365,226,138,1,0,0,0,119,64,45,0,1,129,235,0
California,Sonoma,06097,2019,365,318,47,0,0,0,0,87,52,36,0,1,202,155,7
