RegionName,RegionType,State,Metro,StCntyFIPS,2019_average
Los Angeles County,county,CA,"Los Angeles-Long Beach-Anaheim, CA",06037,628198.75705
Cook County,county,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17031,232428.72574
Harris County,county,TX,"Houston-The Woodlands-Sugar Land, TX",48201,200232.71259
Maricopa County,county,AZ,"Phoenix-Mesa-Chandler, AZ",04013,291203.2516
San Diego County,county,CA,"San Diego-Chula Vista-Carlsbad, CA",06073,594778.24092
Orange County,county,CA,"Los Angeles-Long Beach-Anaheim, CA",06059,713291.59504
Kings County,county,NY,"New York-Newark-Jersey City, NY-NJ-PA",36047,763572.41105
Miami-Dade County,county,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12086,309068.20582
Dallas County,county,TX,"Dallas-Fort Worth-Arlington, TX",48113,211338.33973
Riverside County,county,CA,"Riverside-San Bernardino-Ontario, CA",06065,388612.8329
Queens County,county,NY,"New York-Newark-Jersey City, NY-NJ-PA",36081,661233.55309
King County,county,WA,"Seattle-Tacoma-Bellevue, WA",53033,607982.61913
Clark County,county,NV,"Las Vegas-Henderson-Paradise, NV",32003,286334.56783
San Bernardino County,county,CA,"Riverside-San Bernardino-Ontario, CA",06071,353021.72589
Tarrant County,county,TX,"Dallas-Fort Worth-Arlington, TX",48439,219842.7886
Bexar County,county,TX,"San Antonio-New Braunfels, TX",48029,189215.56593
Santa Clara County,county,CA,"San Jose-Sunnyvale-Santa Clara, CA",06085,1186636.95115
Broward County,county,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12011,269473.35354
Wayne County,county,MI,"Detroit-Warren-Dearborn, MI",26163,112554.52647
Alameda County,county,CA,"San Francisco-Oakland-Berkeley, CA",06001,854638.4046
New York County,county,NY,"New York-Newark-Jersey City, NY-NJ-PA",36061,1284751.21618
Middlesex County,county,MA,"Boston-Cambridge-Newton, MA-NH",25017,553590.32935
Philadelphia County,county,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42101,168649.09909
Sacramento County,county,CA,"Sacramento-Roseville-Folsom, CA",06067,380206.63088
Suffolk County,county,NY,"New York-Newark-Jersey City, NY-NJ-PA",36103,454444.69418
Palm Beach County,county,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12099,291165.00767
Bronx County,county,NY,"New York-Newark-Jersey City, NY-NJ-PA",36005,525096.04484
Hillsborough County,county,FL,"Tampa-St. Petersburg-Clearwater, FL",12057,230607.59651
Orange County,county,FL,"Orlando-Kissimmee-Sanford, FL",12095,257258.34988
Nassau County,county,NY,"New York-Newark-Jersey City, NY-NJ-PA",36059,574605.29313
Franklin County,county,OH,"Columbus, OH",39049,181841.74206
Oakland County,county,MI,"Detroit-Warren-Dearborn, MI",26125,245287.47134
Hennepin County,county,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",27053,295710.72043
Travis County,county,TX,"Austin-Round Rock-Georgetown, TX",48453,353516.90124
Cuyahoga County,county,OH,"Cleveland-Elyria, OH",39035,131412.90226
Allegheny County,county,PA,"Pittsburgh, PA",42003,158149.78926
Salt Lake County,county,UT,"Salt Lake City, UT",49035,359272.62675
Contra Costa County,county,CA,"San Francisco-Oakland-Berkeley, CA",06013,626390.0463
Fairfax County,county,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51059,557132.42941
Wake County,county,NC,"Raleigh-Cary, NC",37183,309835.21984
Mecklenburg County,county,NC,"Charlotte-Concord-Gastonia, NC-SC",37119,255410.02939
Montgomery County,county,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24031,483303.30412
Fulton County,county,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13121,301165.00017
Collin County,county,TX,"Dallas-Fort Worth-Arlington, TX",48085,332340.5555
Pima County,county,AZ,"Tucson, AZ",04019,221486.63861
Honolulu County,county,HI,"Urban Honolulu, HI",15003,664558.39435
Fresno County,county,CA,"Fresno, CA",06019,266957.78044
Saint Louis County,county,MO,"St. Louis, MO-IL",29189,182766.9153
Westchester County,county,NY,"New York-Newark-Jersey City, NY-NJ-PA",36119,590854.19212
Duval County,county,FL,"Jacksonville, FL",12031,193052.5127
Marion County,county,IN,"Indianapolis-Carmel-Anderson, IN",18097,137817.8073
Pinellas County,county,FL,"Tampa-St. Petersburg-Clearwater, FL",12103,238110.29236
Prince Georges County,county,MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",24033,316242.18735
Fairfield County,county,CT,"Bridgeport-Stamford-Norwalk, CT",09001,411272.72809
Bergen County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34003,509393.79885
Erie County,county,NY,"Buffalo-Cheektowaga, NY",36029,169979.67371
Gwinnett County,county,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13135,247129.39634
Milwaukee County,county,WI,"Milwaukee-Waukesha, WI",55079,162096.85356
DuPage County,county,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17043,299269.39626
Shelby County,county,TN,"Memphis, TN-MS-AR",47157,137821.24589
Pierce County,county,WA,"Seattle-Tacoma-Bellevue, WA",53053,358290.49421
Kern County,county,CA,"Bakersfield, CA",06029,224859.82718
Hartford County,county,CT,"Hartford-East Hartford-Middletown, CT",09003,217632.04339
Denton County,county,TX,"Dallas-Fort Worth-Arlington, TX",48121,306455.04281
Macomb County,county,MI,"Detroit-Warren-Dearborn, MI",26099,174527.79627
San Francisco County,county,CA,"San Francisco-Oakland-Berkeley, CA",06075,1296201.19464
Hidalgo County,county,TX,"McAllen-Edinburg-Mission, TX",48215,112281.06658
New Haven County,county,CT,"New Haven-Milford, CT",09009,222912.57625
El Paso County,county,TX,"El Paso, TX",48141,138055.67044
Middlesex County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34023,364191.17376
Worcester County,county,MA,"Worcester, MA-CT",25027,294536.38298
Essex County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34013,415973.55744
Montgomery County,county,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42091,309203.5846
Baltimore County,county,MD,"Baltimore-Columbia-Towson, MD",24005,258905.3746
Ventura County,county,CA,"Oxnard-Thousand Oaks-Ventura, CA",06111,614369.2418
Hamilton County,county,OH,"Cincinnati, OH-KY-IN",39061,164143.14798
Snohomish County,county,WA,"Seattle-Tacoma-Bellevue, WA",53061,469967.38064
Multnomah County,county,OR,"Portland-Vancouver-Hillsboro, OR-WA",41051,406380.507
Fort Bend County,county,TX,"Houston-The Woodlands-Sugar Land, TX",48157,265027.27143
Essex County,county,MA,"Boston-Cambridge-Newton, MA-NH",25009,454656.0511
Suffolk County,county,MA,"Boston-Cambridge-Newton, MA-NH",25025,593727.08155
Oklahoma County,county,OK,"Oklahoma City, OK",40109,142873.79671
Jefferson County,county,KY,"Louisville/Jefferson County, KY-IN",21111,174058.46088
San Joaquin County,county,CA,"Stockton, CA",06077,384202.71901
Cobb County,county,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13067,269769.58012
San Mateo County,county,CA,"San Francisco-Oakland-Berkeley, CA",06081,1330718.62502
Dekalb County,county,GA,"Atlanta-Sandy Springs-Alpharetta, GA",13089,229801.37342
Monroe County,county,NY,"Rochester, NY",36055,152286.44821
Lee County,county,FL,"Cape Coral-Fort Myers, FL",12071,235538.08438
El Paso County,county,CO,"Colorado Springs, CO",08041,321731.50381
Norfolk County,county,MA,"Boston-Cambridge-Newton, MA-NH",25021,515768.11408
Lake County,county,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17097,245422.87331
Jackson County,county,MO,"Kansas City, MO-KS",29095,147270.0211
Polk County,county,FL,"Lakeland-Winter Haven, FL",12105,189960.0523
Hudson County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34017,467839.41794
Davidson County,county,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",47037,282833.71819
Denver County,county,CO,"Denver-Aurora-Lakewood, CO",08031,434150.19586
Will County,county,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17197,237766.91358
District of Columbia,county,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",11001,575013.11859
Bernalillo County,county,NM,"Albuquerque, NM",35001,202140.13086
Jefferson County,county,AL,"Birmingham-Hoover, AL",01073,141932.69861
Tulsa County,county,OK,"Tulsa, OK",40143,148016.82869
Providence County,county,RI,"Providence-Warwick, RI-MA",44007,258279.2268
Kent County,county,MI,"Grand Rapids-Kentwood, MI",26081,206973.82721
Arapahoe County,county,CO,"Denver-Aurora-Lakewood, CO",08005,391127.3393
Utah County,county,UT,"Provo-Orem, UT",49049,350843.55163
Bucks County,county,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42017,323541.10318
Monmouth County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34025,439446.06118
Ocean County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34029,296700.33492
Montgomery County,county,TX,"Houston-The Woodlands-Sugar Land, TX",48339,247211.49759
Johnson County,county,KS,"Kansas City, MO-KS",20091,289492.97656
Brevard County,county,FL,"Palm Bay-Melbourne-Titusville, FL",12009,219805.72993
Washington County,county,OR,"Portland-Vancouver-Hillsboro, OR-WA",41067,421164.52737
Baltimore City,county,MD,"Baltimore-Columbia-Towson, MD",24510,132034.77358
Williamson County,county,TX,"Austin-Round Rock-Georgetown, TX",48491,288053.52898
Anne Arundel County,county,MD,"Baltimore-Columbia-Towson, MD",24003,366635.23305
Jefferson County,county,CO,"Denver-Aurora-Lakewood, CO",08059,445719.65367
Douglas County,county,NE,"Omaha-Council Bluffs, NE-IA",31055,183041.85063
Bristol County,county,MA,"Providence-Warwick, RI-MA",25005,327615.0216
Delaware County,county,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42045,217932.11696
Union County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34039,404000.21141
New Castle County,county,DE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",10003,244242.6457
Dane County,county,WI,"Madison, WI",55025,293882.5352
Pasco County,county,FL,"Tampa-St. Petersburg-Clearwater, FL",12101,205988.73917
Stanislaus County,county,CA,"Modesto, CA",06099,320549.64309
Lancaster County,county,PA,"Lancaster, PA",42071,231615.66236
Ramsey County,county,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",27123,248430.43806
Volusia County,county,FL,"Deltona-Daytona Beach-Ormond Beach, FL",12127,205640.07082
Summit County,county,OH,"Akron, OH",39153,135551.63422
Guilford County,county,NC,"Greensboro-High Point, NC",37081,165546.29702
Montgomery County,county,OH,"Dayton-Kettering, OH",39113,116354.19443
Chester County,county,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42029,356964.30236
Spokane County,county,WA,"Spokane-Spokane Valley, WA",53063,256197.67338
Plymouth County,county,MA,"Boston-Cambridge-Newton, MA-NH",25023,395486.20897
Camden County,county,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",34007,185057.51955
Passaic County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34031,353543.6977
Sedgwick County,county,KS,"Wichita, KS",20173,134820.5104
Greenville County,county,SC,"Greenville-Anderson, SC",45045,209987.98832
Kane County,county,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17089,236586.88991
Adams County,county,CO,"Denver-Aurora-Lakewood, CO",08001,359282.58326
Morris County,county,NJ,"New York-Newark-Jersey City, NY-NJ-PA",34027,458975.69683
Clark County,county,WA,"Portland-Vancouver-Hillsboro, OR-WA",53011,365739.84719
