County Name/State Abbreviation,FIPS,Unemployment Rate (%),2019_average,RISK_SCORE,Median AQI
"Autauga County, AL",01001,2.9,174083.04224,49.22049,
"Baldwin County, AL",01003,2.9,243990.89015,97.7092,40.0
"Barbour County, AL",01005,4.0,111670.71262,56.18836,
"Bibb County, AL",01007,3.2,139558.2792,32.48489,
"Blount County, AL",01009,2.8,163299.14116,65.12886,
"Bullock County, AL",01011,3.9,87084.28608,32.45307,
"Butler County, AL",01013,3.9,89229.89524,54.05663,
"Calhoun County, AL",01015,3.7,118760.25784,84.37798,
"Chambers County, AL",01017,3.1,94378.24391,42.34808,
"Cherokee County, AL",01019,3.0,153731.86344,42.06172,
"Chilton County, AL",01021,2.9,146187.57076,58.54279,
"Clarke County, AL",01025,6.1,113671.80675,72.09672,
"Clay County, AL",01027,3.1,110249.88268,22.36717,41.0
"Cleburne County, AL",01029,3.3,141788.14624,22.55807,
"Coffee County, AL",01031,3.1,136881.53703,89.08686,
"Colbert County, AL",01033,4.0,122136.51248,71.90582,38.0
"Conecuh County, AL",01035,4.2,90280.3007,47.5342,
"Coosa County, AL",01037,3.1,126133.64895,7.50875,
"Covington County, AL",01039,3.6,103719.92519,88.70506,
"Crenshaw County, AL",01041,3.0,92672.53419,46.26153,
"Cullman County, AL",01043,2.7,160956.80454,69.64683,
"Dale County, AL",01045,3.3,104320.04096,79.66911,
"Dallas County, AL",01047,5.8,69526.64983,57.84283,
"DeKalb County, AL",01049,3.0,128206.22583,69.42412,39.0
"Elmore County, AL",01051,2.8,179704.21708,57.27012,39.0
"Escambia County, AL",01053,3.7,97968.34938,91.37766,
"Etowah County, AL",01055,3.6,113647.47441,82.24626,44.0
"Fayette County, AL",01057,3.3,85229.9605,29.39866,
"Franklin County, AL",01059,2.9,105821.69495,65.47884,
"Geneva County, AL",01061,3.1,115123.37521,65.54248,
"Greene County, AL",01063,5.9,98470.13728,18.04009,
"Hale County, AL",01065,4.2,120843.79685,33.15304,
"Henry County, AL",01067,3.8,135790.62348,49.88864,
"Houston County, AL",01069,3.2,127596.89612,90.6777,38.0
"Jackson County, AL",01071,3.5,122376.27917,69.93318,
"Jefferson County, AL",01073,3.0,141932.69861,96.46834,58.0
"Lamar County, AL",01075,3.3,89551.9102,29.68501,
"Lauderdale County, AL",01077,3.5,141023.99652,76.36017,
"Lawrence County, AL",01079,3.3,147191.22164,60.4518,32.0
"Lee County, AL",01081,2.9,217352.60087,70.82405,
"Limestone County, AL",01083,2.8,194251.70113,73.59211,
"Lowndes County, AL",01085,6.1,125699.84397,26.50334,
"Macon County, AL",01087,4.5,72402.11018,20.99905,
"Madison County, AL",01089,2.7,188924.2311,91.28221,49.0
"Marengo County, AL",01091,3.7,123961.29121,41.26631,
"Marion County, AL",01093,3.7,108831.97447,57.97009,
"Marshall County, AL",01095,2.6,145580.45713,85.1734,
"Mobile County, AL",01097,3.9,125528.12806,98.79096,52.0
"Monroe County, AL",01099,5.1,100569.72503,58.89278,
"Montgomery County, AL",01101,3.3,108660.93393,86.25517,57.0
"Morgan County, AL",01103,2.7,149183.8453,88.13236,45.0
"Perry County, AL",01105,5.5,99279.71726,13.71301,
"Pickens County, AL",01107,3.7,107396.61861,44.82978,
"Pike County, AL",01109,3.5,126452.60073,63.25167,
"Randolph County, AL",01111,3.2,131361.29278,29.4623,
