COUNTY,STATE,STATEABBRV,STCOFIPS,RISK_SCORE
Autauga,Alabama,AL,01001,49.22049
Baldwin,Alabama,AL,01003,97.7092
Barbour,Alabama,AL,01005,56.18836
Bibb,Alabama,AL,01007,32.48489
Blount,Alabama,AL,01009,65.12886
Bullock,Alabama,AL,01011,32.45307
Butler,Alabama,AL,01013,54.05663
Calhoun,Alabama,AL,01015,84.37798
Chambers,Alabama,AL,01017,42.34808
Cherokee,Alabama,AL,01019,42.06172
Chilton,Alabama,AL,01021,58.54279
Choctaw,Alabama,AL,01023,74.35571
Clarke,Alabama,AL,01025,72.09672
Clay,Alabama,AL,01027,22.36717
Cleburne,Alabama,AL,01029,22.55807
Coffee,Alabama,AL,01031,89.08686
Colbert,Alabama,AL,01033,71.90582
Conecuh,Alabama,AL,01035,47.5342
Coosa,Alabama,AL,01037,7.50875
Covington,Alabama,AL,01039,88.70506
Crenshaw,Alabama,AL,01041,46.26153
Cullman,Alabama,AL,01043,69.64683
Dale,Alabama,AL,01045,79.66911
Dallas,Alabama,AL,01047,57.84283
DeKalb,Alabama,AL,01049,69.42412
Elmore,Alabama,AL,01051,57.27012
Escambia,Alabama,AL,01053,91.37766
Etowah,Alabama,AL,01055,82.24626
Fayette,Alabama,AL,01057,29.39866
Franklin,Alabama,AL,01059,65.47884
Geneva,Alabama,AL,01061,65.54248
Greene,Alabama,AL,01063,18.04009
Hale,Alabama,AL,01065,33.15304
Henry,Alabama,AL,01067,49.88864
Houston,Alabama,AL,01069,90.6777
Jackson,Alabama,AL,01071,69.93318
Jefferson,Alabama,AL,01073,96.46834
Lamar,Alabama,AL,01075,29.68501
Lauderdale,Alabama,AL,01077,76.36017
Lawrence,Alabama,AL,01079,60.4518
Lee,Alabama,AL,01081,70.82405
Limestone,Alabama,AL,01083,73.59211
Lowndes,Alabama,AL,01085,26.50334
Macon,Alabama,AL,01087,20.99905
Madison,Alabama,AL,01089,91.28221
Marengo,Alabama,AL,01091,41.26631
Marion,Alabama,AL,01093,57.97009
Marshall,Alabama,AL,01095,85.1734
Mobile,Alabama,AL,01097,98.79096
Monroe,Alabama,AL,01099,58.89278
Montgomery,Alabama,AL,01101,86.25517
Morgan,Alabama,AL,01103,88.13236
Perry,Alabama,AL,01105,13.71301
Pickens,Alabama,AL,01107,44.82978
Pike,Alabama,AL,01109,63.25167
Randolph,Alabama,AL,01111,29.4623
Russell,Alabama,AL,01113,39.26185
St. Clair,Alabama,AL,01115,70.79224
Shelby,Alabama,AL,01117,87.40057
Sumter,Alabama,AL,01119,51.06586
Talladega,Alabama,AL,01121,71.81037
Tallapoosa,Alabama,AL,01123,50.04773
Tuscaloosa,Alabama,AL,01125,87.11422
Walker,Alabama,AL,01127,73.33758
Washington,Alabama,AL,01129,58.00191
Wilcox,Alabama,AL,01131,23.0035
Winston,Alabama,AL,01133,44.00255
Aleutians East,Alaska,AK,02013,4.23163
Aleutians West,Alaska,AK,02016,35.22113
Anchorage,Alaska,AK,02020,94.84569
Bethel,Alaska,AK,02050,16.9265
Bristol Bay,Alaska,AK,02060,0.15908
Chugach,Alaska,AK,02063,8.01782
Copper River,Alaska,AK,02066,2.03627
Denali,Alaska,AK,02068,11.70856
Dillingham,Alaska,AK,02070,2.16354
Fairbanks North Star,Alaska,AK,02090,82.37353
Haines,Alaska,AK,02100,3.72256
Hoonah-Angoon,Alaska,AK,02105,4.70888
Juneau,Alaska,AK,02110,19.75819
Kenai Peninsula,Alaska,AK,02122,90.96405
Ketchikan Gateway,Alaska,AK,02130,0.3818
Kodiak Island,Alaska,AK,02150,68.75597
Kusilvak,Alaska,AK,02158,3.27712
Lake and Peninsula,Alaska,AK,02164,1.65447
Matanuska-Susitna,Alaska,AK,02170,88.95959
Nome,Alaska,AK,02180,3.40439
North Slope,Alaska,AK,02185,8.9405
Northwest Arctic,Alaska,AK,02188,2.06809
Petersburg,Alaska,AK,02195,0.44543
Prince of Wales-Hyder,Alaska,AK,02198,0.28635
Sitka,Alaska,AK,02220,18.48552
Skagway,Alaska,AK,02230,1.46357
Southeast Fairbanks,Alaska,AK,02240,58.41553
Wrangell,Alaska,AK,02275,0.1909
Yakutat,Alaska,AK,02282,2.60897
Yukon-Koyukuk,Alaska,AK,02290,45.0525
Apache,Arizona,AZ,04001,43.39803
Cochise,Arizona,AZ,04003,85.87337
Coconino,Arizona,AZ,04005,90.23226
Gila,Arizona,AZ,04007,85.26885
Graham,Arizona,AZ,04009,68.18326
Greenlee,Arizona,AZ,04011,6.96787
La Paz,Arizona,AZ,04012,69.0105
Maricopa,Arizona,AZ,04013,97.32739
Mohave,Arizona,AZ,04015,88.41871
Navajo,Arizona,AZ,04017,80.94178
Pima,Arizona,AZ,04019,94.97296
Pinal,Arizona,AZ,04021,93.12759
Santa Cruz,Arizona,AZ,04023,68.37416
Yavapai,Arizona,AZ,04025,88.83233
Yuma,Arizona,AZ,04027,91.66402
Arkansas,Arkansas,AR,05001,62.10627
Ashley,Arkansas,AR,05003,59.43366
Baxter,Arkansas,AR,05005,73.49666
Benton,Arkansas,AR,05007,87.55966
Boone,Arkansas,AR,05009,70.44225
Bradley,Arkansas,AR,05011,30.6077
Calhoun,Arkansas,AR,05013,11.04041
Carroll,Arkansas,AR,05015,68.27871
Chicot,Arkansas,AR,05017,59.59275
Clark,Arkansas,AR,05019,51.79765
Clay,Arkansas,AR,05021,64.33344
Cleburne,Arkansas,AR,05023,72.44671
Cleveland,Arkansas,AR,05025,11.42221
Columbia,Arkansas,AR,05027,48.45689
Conway,Arkansas,AR,05029,67.51511
Craighead,Arkansas,AR,05031,92.33217
Crawford,Arkansas,AR,05033,77.44193
Crittenden,Arkansas,AR,05035,80.75087
Cross,Arkansas,AR,05037,66.49698
Dallas,Arkansas,AR,05039,13.96755
Desha,Arkansas,AR,05041,44.73433
Drew,Arkansas,AR,05043,39.67547
Faulkner,Arkansas,AR,05045,89.18231
Franklin,Arkansas,AR,05047,49.92046
Fulton,Arkansas,AR,05049,45.78428
Garland,Arkansas,AR,05051,86.1279
Grant,Arkansas,AR,05053,29.0805
Greene,Arkansas,AR,05055,78.68279
Hempstead,Arkansas,AR,05057,58.16099
Hot Spring,Arkansas,AR,05059,61.85173
Howard,Arkansas,AR,05061,42.72988
Independence,Arkansas,AR,05063,78.04645
Izard,Arkansas,AR,05065,49.34776
Jackson,Arkansas,AR,05067,74.92841
Jefferson,Arkansas,AR,05069,84.25072
Johnson,Arkansas,AR,05071,69.26503
Lafayette,Arkansas,AR,05073,30.32135
Lawrence,Arkansas,AR,05075,68.97868
Lee,Arkansas,AR,05077,55.83837
Lincoln,Arkansas,AR,05079,46.86605
Little River,Arkansas,AR,05081,25.61247
Logan,Arkansas,AR,05083,52.05218
Lonoke,Arkansas,AR,05085,78.77824
Madison,Arkansas,AR,05087,61.7881
Marion,Arkansas,AR,05089,42.76169
Miller,Arkansas,AR,05091,74.22844
Mississippi,Arkansas,AR,05093,88.99141
Monroe,Arkansas,AR,05095,61.53357
Montgomery,Arkansas,AR,05097,19.63093
Nevada,Arkansas,AR,05099,17.18104
Newton,Arkansas,AR,05101,13.74483
Ouachita,Arkansas,AR,05103,53.6112
Perry,Arkansas,AR,05105,40.75724
Phillips,Arkansas,AR,05107,65.28794
Pike,Arkansas,AR,05109,32.3258
Poinsett,Arkansas,AR,05111,77.3783
Polk,Arkansas,AR,05113,47.97964
Pope,Arkansas,AR,05115,82.85078
Prairie,Arkansas,AR,05117,48.23417
Pulaski,Arkansas,AR,05119,95.06841
Randolph,Arkansas,AR,05121,67.76965
St. Francis,Arkansas,AR,05123,80.01909
Saline,Arkansas,AR,05125,76.20108
Scott,Arkansas,AR,05127,31.1804
Searcy,Arkansas,AR,05129,24.49889
Sebastian,Arkansas,AR,05131,83.93255
Sevier,Arkansas,AR,05133,34.52116
Sharp,Arkansas,AR,05135,66.14699
Stone,Arkansas,AR,05137,57.17467
Union,Arkansas,AR,05139,61.91537
Van Buren,Arkansas,AR,05141,59.56093
Washington,Arkansas,AR,05143,91.02768
White,Arkansas,AR,05145,87.75056
Woodruff,Arkansas,AR,05147,66.87878
Yell,Arkansas,AR,05149,64.07891
Alameda,California,CA,06001,99.87273
Alpine,California,CA,06003,23.92619
Amador,California,CA,06005,77.79192
Butte,California,CA,06007,97.16831
Calaveras,California,CA,06009,86.44607
Colusa,California,CA,06011,95.41839
Contra Costa,California,CA,06013,99.58638
Del Norte,California,CA,06015,84.34617
El Dorado,California,CA,06017,91.60038
Fresno,California,CA,06019,98.091
Glenn,California,CA,06021,94.81387
Humboldt,California,CA,06023,97.00923
